,nome_ies_destino_norm,pais_ies_destino,frequencia
560,north dakota state university,ESTADOS UNIDOS,12
561,pontificia universidade catolica do parana,BRASIL,12
562,universidade federal do abc,BRASIL,12
563,aalto yliopisto,FINLÂNDIA,12
564,instituto superior miguel torga,PORTUGAL,12
565,university of roehampton,REINO UNIDO,12
566,universidad de guadalajara,MÉXICO,12
567,universita degli studi di salerno,ITÁLIA,12
568,koninklijke nederlandse akademie van wetenschappen,HOLANDA,12
569,laboratorio nacional de engenharia civil,PORTUGAL,12
570,rensselaer polytechnic institute,ESTADOS UNIDOS,12
571,universita degli studi di udine,ITÁLIA,12
572,universite francois rabelais de tours,FRANÇA,12
573,georgia regents university,ESTADOS UNIDOS,12
574,aston university,REINO UNIDO,12
575,university of vermont,ESTADOS UNIDOS,12
576,universidad de antioquia,COLÔMBIA,12
577,manchester metropolitan university,REINO UNIDO,12
578,universite bordeaux montaigne,FRANÇA,12
579,universitat tubingen,ALEMANHA,12
580,universite de pau et des pays de l adour,FRANÇA,12
581,universita degli studi g d annunzio pescara,ITÁLIA,12
582,universita degli studi di bari aldo moro,ITÁLIA,12
583,university of huddersfield,REINO UNIDO,12
584,ollscoil luimnigh,IRLANDA,11
585,colaiste na hollscoile corcaigh,IRLANDA,11
586,universidade nacional timor lorosa e,TIMOR-LESTE,11
587,universidade federal de ouro preto,BRASIL,11
588,universite pantheon assas paris ii,FRANÇA,11
589,universidade federal do tocantins,BRASIL,11
590,rockefeller university,ESTADOS UNIDOS,11
591,universite lyon 2,FRANÇA,11
592,city university of london cass business school,REINO UNIDO,11
593,universidad de la laguna,ESPANHA,11
594,forsyth institute,ESTADOS UNIDOS,11
595,southern illinois university,ESTADOS UNIDOS,11
596,universitat konstanz,ALEMANHA,11
597,universitat bern,SUÍÇA,11
598,universidad nacional del centro de la provincia de buenos aires,ARGENTINA,11
599,universidad politecnica de cartagena,ESPANHA,11
600,the university of memphis,ESTADOS UNIDOS,11
601,curtin university,AUSTRÁLIA,11
602,turun yliopisto,FINLÂNDIA,11
603,universitat rostock,ALEMANHA,11
604,vetagro sup lempdes,FRANÇA,11
605,assistance publique hopitaux de paris,FRANÇA,11
606,university of westminster,REINO UNIDO,10
607,university of rochester,ESTADOS UNIDOS,10
608,jacobs university bremen,ALEMANHA,10
609,university of south australia,AUSTRÁLIA,10
